category,topic,tier
Physics,Black hole,mainstream
Physics,Quantum mechanics,mainstream
Physics,Theory of relativity,mainstream
Physics,Gravity,mainstream
Physics,Electromagnetism,mainstream
Physics,Thermodynamics,mainstream
Physics,Energy,mainstream
Physics,Light,mainstream
Physics,Sound,mainstream
Physics,Atom,mainstream
Physics,Nuclear fusion,mainstream
Physics,Nuclear fission,mainstream
Physics,Radioactive decay,mainstream
Physics,Magnetism,mainstream
Physics,Electricity,mainstream
Physics,Wave,mainstream
Physics,Speed of light,mainstream
Physics,Big Bang,mainstream
Physics,String theory,mainstream
Physics,Antimatter,mainstream
Physics,Dark matter,mainstream
Physics,Dark energy,mainstream
Physics,Higgs boson,mainstream
Physics,Standard Model,mainstream
Physics,Superconductivity,mainstream
Physics,Entropy,mainstream
Physics,Schrödinger's cat,mainstream
Physics,Heisenberg uncertainty principle,mainstream
Physics,Quantum entanglement,mainstream
Physics,Wave–particle duality,deepcut
Physics,Double-slit experiment,deepcut
Physics,Casimir effect,deepcut
Physics,Quantum tunnelling,deepcut
Physics,Bose–Einstein condensate,deepcut
Physics,Quark,deepcut
Physics,Neutrino,deepcut
Physics,Photon,deepcut
Physics,Plasma (physics),deepcut
Physics,Superfluidity,deepcut
Physics,Quantum field theory,deepcut
Physics,General relativity,deepcut
Physics,Special relativity,deepcut
Physics,Time dilation,deepcut
Physics,Wormhole,deepcut
Physics,Hawking radiation,deepcut
Physics,Event horizon,deepcut
Physics,Spacetime,deepcut
Physics,Quantum gravity,deepcut
Physics,Brownian motion,deepcut
Physics,Chaos theory,deepcut
Physics,Doppler effect,deepcut
Physics,Resonance,deepcut
Physics,Centrifugal force,deepcut
Physics,Coriolis force,deepcut
Physics,Maxwell's demon,deepcut
Physics,Cherenkov radiation,deepcut
Physics,Quantum computing,mainstream
Physics,Laser,mainstream
Chemistry,Periodic table,mainstream
Chemistry,Chemical element,mainstream
Chemistry,Molecule,mainstream
Chemistry,Chemical reaction,mainstream
Chemistry,Acid,mainstream
Chemistry,Base (chemistry),mainstream
Chemistry,Catalysis,mainstream
Chemistry,Oxygen,mainstream
Chemistry,Hydrogen,mainstream
Chemistry,Carbon,mainstream
Chemistry,Water,mainstream
Chemistry,Salt,mainstream
Chemistry,Metal,mainstream
Chemistry,Gold,mainstream
Chemistry,Oxidation,mainstream
Chemistry,Combustion,mainstream
Chemistry,Polymer,mainstream
Chemistry,Plastic,mainstream
Chemistry,Organic chemistry,mainstream
Chemistry,Chemical bond,mainstream
Chemistry,Ion,mainstream
Chemistry,Electron,mainstream
Chemistry,pH,mainstream
Chemistry,Alloy,mainstream
Chemistry,Crystal,mainstream
Chemistry,Diamond,mainstream
Chemistry,Carbon dioxide,mainstream
Chemistry,Ammonia,mainstream
Chemistry,Ethanol,mainstream
Chemistry,Caffeine,mainstream
Chemistry,Periodic trends,deepcut
Chemistry,Allotropes of carbon,deepcut
Chemistry,Noble gas,deepcut
Chemistry,Halogen,deepcut
